manufacturer,catalog,component_type,part_number_series,nominal_size,description,specific_length,catalog_bore_min,catalog_bore_max,sct_bore_min,sct_bore_max,sct_bore_note,clamping_type,clamping_quantity,clamping_screw_size,clamping_bolt_circle
Danly,Inch,Guide Post,5-0412,0.500,"Demountable / Plain Bearing - 3"" Length",3,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0413,0.500,"Demountable / Plain Bearing - 3.25"" Length",3.25,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0414,0.500,"Demountable / Plain Bearing - 3.5"" Length",3.5,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0415,0.500,"Demountable / Plain Bearing - 3.75"" Length",3.75,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0416,0.500,"Demountable / Plain Bearing - 4"" Length",4,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0417,0.500,"Demountable / Plain Bearing - 4.25"" Length",4.25,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0418,0.500,"Demountable / Plain Bearing - 4.5"" Length",4.5,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0419,0.500,"Demountable / Plain Bearing - 4.75"" Length",4.75,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0420,0.500,"Demountable / Plain Bearing - 5"" Length",5,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0421,0.500,"Demountable / Plain Bearing - 5.25"" Length",5.25,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0422,0.500,"Demountable / Plain Bearing - 5.5"" Length",5.5,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0423,0.500,"Demountable / Plain Bearing - 5.75"" Length",5.75,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0424,0.500,"Demountable / Plain Bearing - 6"" Length",6,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0425,0.500,"Demountable / Plain Bearing - 6.25"" Length",6.25,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0426,0.500,"Demountable / Plain Bearing - 6.5"" Length",6.5,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0427,0.500,"Demountable / Plain Bearing - 6.75"" Length",6.75,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0428,0.500,"Demountable / Plain Bearing - 7"" Length",7,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0429,0.500,"Demountable / Plain Bearing - 7.25"" Length",7.25,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0430,0.500,"Demountable / Plain Bearing - 7.5"" Length",7.5,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0431,0.500,"Demountable / Plain Bearing - 7.75"" Length",7.75,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0432,0.500,"Demountable / Plain Bearing - 8"" Length",8,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0433,0.500,"Demountable / Plain Bearing - 8.25"" Length",8.25,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0434,0.500,"Demountable / Plain Bearing - 8.5"" Length",8.5,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0435,0.500,"Demountable / Plain Bearing - 8.75"" Length",8.75,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0436,0.500,"Demountable / Plain Bearing - 9"" Length",9,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0437,0.500,"Demountable / Plain Bearing - 9.25"" Length",9.25,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0438,0.500,"Demountable / Plain Bearing - 9.5"" Length",9.5,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0439,0.500,"Demountable / Plain Bearing - 9.75"" Length",9.75,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0440,0.500,"Demountable / Plain Bearing - 10"" Length",10,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0441,0.500,"Demountable / Plain Bearing - 10.25"" Length",10.25,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0442,0.500,"Demountable / Plain Bearing - 10.5"" Length",10.5,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0443,0.500,"Demountable / Plain Bearing - 10.75"" Length",10.75,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0444,0.500,"Demountable / Plain Bearing - 11"" Length",11,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0445,0.500,"Demountable / Plain Bearing - 11.25"" Length",11.25,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0446,0.500,"Demountable / Plain Bearing - 11.5"" Length",11.5,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0447,0.500,"Demountable / Plain Bearing - 11.75"" Length",11.75,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
Danly,Inch,Guide Post,5-0448,0.500,"Demountable / Plain Bearing - 12"" Length",12,0.8123,0.813,0.813,0.8137,SCT Override: Shifted by spread (0.0007),N/A,,,
